TimeFrame,Location ID,Dwelling Type,Total Bonds,Active Bonds,Closed Bonds,Median Rent,Geometric Mean Rent
1/04/2026,183000,ALL,6,9,0,850,859
1/04/2026,183200,ALL,9,30,3,585,542
1/04/2026,183500,ALL,6,36,0,555,580
1/04/2026,183600,ALL,12,27,3,585,524
1/04/2026,183700,ALL,6,6,0,695,643
1/04/2026,183800,ALL,9,36,0,700,681
1/04/2026,184000,ALL,9,18,0,645,632
1/04/2026,184100,ALL,6,15,0,550,546
1/04/2026,184200,ALL,12,24,3,645,584
1/04/2026,184300,ALL,9,15,0,520,506
1/04/2026,184400,ALL,6,27,3,625,648
1/04/2026,184800,ALL,12,33,3,565,525
1/04/2026,185500,ALL,9,42,3,530,524
1/04/2026,185800,ALL,6,9,3,615,616
1/04/2026,186000,ALL,24,72,6,530,499
1/04/2026,186200,ALL,12,33,6,465,499
1/04/2026,186300,ALL,9,33,0,540,413
1/04/2026,186400,ALL,12,36,0,515,498
1/04/2026,186500,ALL,9,48,0,420,445
1/04/2026,186600,ALL,12,24,3,540,559
1/04/2026,186700,ALL,9,18,0,510,450
1/04/2026,186800,ALL,6,18,3,555,553
1/04/2026,187300,ALL,6,24,3,453,435
1/04/2026,188300,ALL,9,24,3,650,658
1/04/2026,188400,ALL,9,27,0,720,698
1/04/2026,188500,ALL,18,60,0,665,659
1/04/2026,188700,ALL,6,30,0,613,576
1/04/2026,188800,ALL,21,60,3,595,579
1/04/2026,188900,ALL,24,78,3,635,553
1/04/2026,189000,ALL,15,45,3,650,690
